COMPANY,FRAGMENT_SIZE,REQUESTS,RESPONSE_TIME
De Lijn,1000000,17,25091
De Lijn,1000000,17,25353
De Lijn,1000000,17,25671
De Lijn,1000000,17,26677
De Lijn,1000000,17,25230
De Lijn,1000000,17,26262
De Lijn,1000000,17,25954
De Lijn,1000000,17,25352
De Lijn,1000000,17,26282
De Lijn,1000000,17,25323
De Lijn,1000000,17,25730
De Lijn,1000000,17,25309
De Lijn,1000000,17,25491
De Lijn,1000000,17,26141
De Lijn,1000000,17,26321
De Lijn,1000000,17,31314
De Lijn,1000000,17,25805
De Lijn,1000000,17,27049
De Lijn,1000000,17,27431
De Lijn,1000000,17,25275
De Lijn,1000000,17,25660
De Lijn,1000000,17,25655
De Lijn,1000000,17,25162
De Lijn,1000000,17,25639
De Lijn,1000000,17,25057
De Lijn,1000000,17,25001
De Lijn,1000000,17,25459
De Lijn,1000000,17,25343
De Lijn,1000000,17,25103
De Lijn,1000000,17,25355
