COMPANY,FRAGMENT_SIZE,REQUESTS,RESPONSE_TIME
De Lijn,300000,49,25091
De Lijn,300000,49,24369
De Lijn,300000,49,24986
De Lijn,300000,49,24579
De Lijn,300000,49,25168
De Lijn,300000,49,25184
De Lijn,300000,49,26230
De Lijn,300000,49,25451
De Lijn,300000,49,25562
De Lijn,300000,49,25421
De Lijn,300000,49,26667
De Lijn,300000,49,25888
De Lijn,300000,49,25537
De Lijn,300000,49,26276
De Lijn,300000,49,25971
De Lijn,300000,49,26547
De Lijn,300000,49,26399
De Lijn,300000,49,26158
De Lijn,300000,49,26832
De Lijn,300000,49,27936
De Lijn,300000,49,27605
De Lijn,300000,49,28022
De Lijn,300000,49,27037
De Lijn,300000,49,27510
De Lijn,300000,49,27628
De Lijn,300000,49,26475
De Lijn,300000,49,27856
De Lijn,300000,49,26633
De Lijn,300000,49,26326
De Lijn,300000,49,26450
