COMPANY,FRAGMENT_SIZE,REQUESTS,RESPONSE_TIME
De Lijn,500000,25,25741
De Lijn,500000,25,24412
De Lijn,500000,25,25727
De Lijn,500000,25,25861
De Lijn,500000,25,25262
De Lijn,500000,25,24802
De Lijn,500000,25,24829
De Lijn,500000,25,24810
De Lijn,500000,25,24806
De Lijn,500000,25,25330
De Lijn,500000,25,24758
De Lijn,500000,25,25663
De Lijn,500000,25,25294
De Lijn,500000,25,24532
De Lijn,500000,25,25327
De Lijn,500000,25,25012
De Lijn,500000,25,24810
De Lijn,500000,25,23874
De Lijn,500000,25,25177
De Lijn,500000,25,25319
De Lijn,500000,25,24879
De Lijn,500000,25,24552
De Lijn,500000,25,24847
De Lijn,500000,25,25041
De Lijn,500000,25,25384
De Lijn,500000,25,25208
De Lijn,500000,25,24931
De Lijn,500000,25,25064
De Lijn,500000,25,25597
De Lijn,500000,25,24724
