COMPANY,FRAGMENT_SIZE,REQUESTS,RESPONSE_TIME
De Lijn,50000,49,24464
De Lijn,50000,49,23597
De Lijn,50000,49,24584
De Lijn,50000,49,24760
De Lijn,50000,49,24972
De Lijn,50000,49,25285
De Lijn,50000,49,25084
De Lijn,50000,49,25389
De Lijn,50000,49,24990
De Lijn,50000,49,25358
De Lijn,50000,49,26525
De Lijn,50000,49,25408
De Lijn,50000,49,24930
De Lijn,50000,49,25071
De Lijn,50000,49,25812
De Lijn,50000,49,26007
De Lijn,50000,49,26607
De Lijn,50000,49,26531
De Lijn,50000,49,25958
De Lijn,50000,49,26182
De Lijn,50000,49,27037
De Lijn,50000,49,25276
De Lijn,50000,49,26259
De Lijn,50000,49,26087
De Lijn,50000,49,26604
De Lijn,50000,49,27431
De Lijn,50000,49,28285
De Lijn,50000,49,26176
De Lijn,50000,49,26314
De Lijn,50000,49,26241
