COMPANY,FRAGMENT_SIZE,REQUESTS,RESPONSE_TIME
NMBS,1000000,6,1837
NMBS,1000000,6,1221
NMBS,1000000,6,1193
NMBS,1000000,6,1210
NMBS,1000000,6,1205
NMBS,1000000,6,1203
NMBS,1000000,6,1220
NMBS,1000000,6,1217
NMBS,1000000,6,1200
NMBS,1000000,6,1193
NMBS,1000000,6,1175
NMBS,1000000,6,1188
NMBS,1000000,6,1205
NMBS,1000000,6,1189
NMBS,1000000,6,1194
NMBS,1000000,6,1174
NMBS,1000000,6,1176
NMBS,1000000,6,1201
NMBS,1000000,6,1183
NMBS,1000000,6,1202
NMBS,1000000,6,1199
NMBS,1000000,6,1185
NMBS,1000000,6,1196
NMBS,1000000,6,1183
NMBS,1000000,6,1175
NMBS,1000000,6,1184
NMBS,1000000,6,1217
NMBS,1000000,6,1193
NMBS,1000000,6,1180
NMBS,1000000,6,1181
NMBS,1000000,6,1182
NMBS,1000000,6,1172
NMBS,1000000,6,1198
NMBS,1000000,6,1206
NMBS,1000000,6,1189
NMBS,1000000,6,1192
NMBS,1000000,6,1189
NMBS,1000000,6,1178
NMBS,1000000,6,1172
NMBS,1000000,6,1176
NMBS,1000000,6,1206
NMBS,1000000,6,1188
NMBS,1000000,6,1183
NMBS,1000000,6,1181
NMBS,1000000,6,1169
NMBS,1000000,6,1192
NMBS,1000000,6,1189
NMBS,1000000,6,1180
NMBS,1000000,6,1194
NMBS,1000000,6,1179
NMBS,1000000,6,1184
NMBS,1000000,6,1192
NMBS,1000000,6,1194
NMBS,1000000,6,1170
NMBS,1000000,6,1179
NMBS,1000000,6,1175
NMBS,1000000,6,1175
NMBS,1000000,6,1188
NMBS,1000000,6,1179
NMBS,1000000,6,1179
NMBS,1000000,6,1190
NMBS,1000000,6,1180
NMBS,1000000,6,1174
NMBS,1000000,6,1185
NMBS,1000000,6,1174
NMBS,1000000,6,1174
NMBS,1000000,6,1180
NMBS,1000000,6,1178
NMBS,1000000,6,1180
NMBS,1000000,6,1184
NMBS,1000000,6,1176
NMBS,1000000,6,1174
NMBS,1000000,6,1190
NMBS,1000000,6,1181
NMBS,1000000,6,1176
NMBS,1000000,6,1190
NMBS,1000000,6,1178
NMBS,1000000,6,1177
NMBS,1000000,6,1191
NMBS,1000000,6,1190
NMBS,1000000,6,1175
NMBS,1000000,6,1183
NMBS,1000000,6,1180
NMBS,1000000,6,1174
NMBS,1000000,6,1200
NMBS,1000000,6,1180
NMBS,1000000,6,1331
NMBS,1000000,6,1380
NMBS,1000000,6,1250
NMBS,1000000,6,1354
NMBS,1000000,6,1237
NMBS,1000000,6,1189
NMBS,1000000,6,1190
NMBS,1000000,6,1201
NMBS,1000000,6,1193
NMBS,1000000,6,1190
NMBS,1000000,6,1191
NMBS,1000000,6,1192
NMBS,1000000,6,1177
NMBS,1000000,6,1223
