COMPANY,FRAGMENT_SIZE,REQUESTS,RESPONSE_TIME
NMBS,50000,59,1753
NMBS,50000,59,1221
NMBS,50000,59,1165
NMBS,50000,59,1197
NMBS,50000,59,1193
NMBS,50000,59,1175
NMBS,50000,59,1187
NMBS,50000,59,1173
NMBS,50000,59,1187
NMBS,50000,59,1166
NMBS,50000,59,1178
NMBS,50000,59,1171
NMBS,50000,59,1158
NMBS,50000,59,1170
NMBS,50000,59,1176
NMBS,50000,59,1179
NMBS,50000,59,1187
NMBS,50000,59,1180
NMBS,50000,59,1179
NMBS,50000,59,1170
NMBS,50000,59,1200
NMBS,50000,59,1178
NMBS,50000,59,1178
NMBS,50000,59,1181
NMBS,50000,59,1177
NMBS,50000,59,1191
NMBS,50000,59,1184
NMBS,50000,59,1167
NMBS,50000,59,1169
NMBS,50000,59,1185
NMBS,50000,59,1175
NMBS,50000,59,1183
NMBS,50000,59,1164
NMBS,50000,59,1213
NMBS,50000,59,1195
NMBS,50000,59,1189
NMBS,50000,59,1188
NMBS,50000,59,1174
NMBS,50000,59,1183
NMBS,50000,59,1190
NMBS,50000,59,1164
NMBS,50000,59,1166
NMBS,50000,59,1190
NMBS,50000,59,1184
NMBS,50000,59,1178
NMBS,50000,59,1184
NMBS,50000,59,1179
NMBS,50000,59,1200
NMBS,50000,59,1183
NMBS,50000,59,1190
NMBS,50000,59,1191
NMBS,50000,59,1184
NMBS,50000,59,1183
NMBS,50000,59,1168
NMBS,50000,59,1180
NMBS,50000,59,1183
NMBS,50000,59,1181
NMBS,50000,59,1189
NMBS,50000,59,1178
NMBS,50000,59,1175
NMBS,50000,59,1179
NMBS,50000,59,1188
NMBS,50000,59,1158
NMBS,50000,59,1185
NMBS,50000,59,1193
NMBS,50000,59,1159
NMBS,50000,59,1183
NMBS,50000,59,1198
NMBS,50000,59,1173
NMBS,50000,59,1183
NMBS,50000,59,1205
NMBS,50000,59,1172
NMBS,50000,59,1194
NMBS,50000,59,1202
NMBS,50000,59,1158
NMBS,50000,59,1190
NMBS,50000,59,1152
NMBS,50000,59,1200
NMBS,50000,59,1213
NMBS,50000,59,1158
NMBS,50000,59,1239
NMBS,50000,59,1157
NMBS,50000,59,1211
NMBS,50000,59,1182
NMBS,50000,59,1222
NMBS,50000,59,1183
NMBS,50000,59,1217
NMBS,50000,59,1174
NMBS,50000,59,1205
NMBS,50000,59,1173
NMBS,50000,59,1249
NMBS,50000,59,1181
NMBS,50000,59,1216
NMBS,50000,59,1178
NMBS,50000,59,1223
NMBS,50000,59,1191
NMBS,50000,59,1248
NMBS,50000,59,1184
NMBS,50000,59,1251
NMBS,50000,59,1176
