COMPANY,FRAGMENT_SIZE,REQUESTS,RESPONSE_TIME
NMBS,10000000,2,5469
NMBS,10000000,2,3867
NMBS,10000000,2,3693
NMBS,10000000,2,3700
NMBS,10000000,2,4392
NMBS,10000000,2,3785
NMBS,10000000,2,3778
NMBS,10000000,2,3766
NMBS,10000000,2,3737
NMBS,10000000,2,3725
NMBS,10000000,2,3730
NMBS,10000000,2,3723
NMBS,10000000,2,3736
NMBS,10000000,2,3735
NMBS,10000000,2,3734
NMBS,10000000,2,3750
NMBS,10000000,2,3726
NMBS,10000000,2,3725
NMBS,10000000,2,3734
NMBS,10000000,2,3723
NMBS,10000000,2,3698
NMBS,10000000,2,3737
NMBS,10000000,2,3722
NMBS,10000000,2,3730
NMBS,10000000,2,3729
NMBS,10000000,2,3730
NMBS,10000000,2,3731
NMBS,10000000,2,3696
NMBS,10000000,2,3737
NMBS,10000000,2,3745
NMBS,10000000,2,4044
NMBS,10000000,2,3823
NMBS,10000000,2,4000
NMBS,10000000,2,3896
NMBS,10000000,2,4256
NMBS,10000000,2,3750
NMBS,10000000,2,3941
NMBS,10000000,2,4098
NMBS,10000000,2,3846
NMBS,10000000,2,3837
NMBS,10000000,2,4121
NMBS,10000000,2,3918
NMBS,10000000,2,3835
NMBS,10000000,2,4147
NMBS,10000000,2,4123
NMBS,10000000,2,3973
NMBS,10000000,2,4117
NMBS,10000000,2,3628
NMBS,10000000,2,5034
NMBS,10000000,2,3846
NMBS,10000000,2,3728
NMBS,10000000,2,4501
NMBS,10000000,2,3758
NMBS,10000000,2,4051
NMBS,10000000,2,3831
NMBS,10000000,2,3917
NMBS,10000000,2,3899
NMBS,10000000,2,4255
NMBS,10000000,2,4993
NMBS,10000000,2,3876
NMBS,10000000,2,3784
NMBS,10000000,2,4813
NMBS,10000000,2,3951
NMBS,10000000,2,3929
NMBS,10000000,2,4655
NMBS,10000000,2,4002
NMBS,10000000,2,3784
NMBS,10000000,2,3651
NMBS,10000000,2,3795
NMBS,10000000,2,3755
NMBS,10000000,2,3639
NMBS,10000000,2,3744
NMBS,10000000,2,3750
NMBS,10000000,2,3738
NMBS,10000000,2,3776
NMBS,10000000,2,3743
NMBS,10000000,2,3707
NMBS,10000000,2,3702
NMBS,10000000,2,3687
NMBS,10000000,2,3757
NMBS,10000000,2,3672
NMBS,10000000,2,3678
NMBS,10000000,2,3697
NMBS,10000000,2,3733
NMBS,10000000,2,3738
NMBS,10000000,2,3759
NMBS,10000000,2,3716
NMBS,10000000,2,3735
NMBS,10000000,2,3746
NMBS,10000000,2,3660
NMBS,10000000,2,3677
NMBS,10000000,2,3742
NMBS,10000000,2,3695
NMBS,10000000,2,3721
NMBS,10000000,2,3718
NMBS,10000000,2,3669
NMBS,10000000,2,3764
NMBS,10000000,2,3686
NMBS,10000000,2,3693
NMBS,10000000,2,3599
