COMPANY,DEPARTURE_STOP,ARRIVAL_STOP,DEPARTURE_TIME,MAX_TRANSFERS,FRAGMENT_SIZE,FRAGMENTS,CONNECTIONS,RESPONSE_TIME
nmbs,http://irail.be/stations/NMBS/008895745,http://irail.be/stations/NMBS/008886553,2018-06-04T07:00:00.000Z,2,10000,99,3688,1628
nmbs,http://irail.be/stations/NMBS/008881000,http://irail.be/stations/NMBS/008886066,2018-06-04T09:00:00.000Z,1,10000,107,3977,2890
nmbs,http://irail.be/stations/NMBS/008821246,http://irail.be/stations/NMBS/008824224,2018-06-04T08:00:00.000Z,2,10000,131,4824,1080
nmbs,http://irail.be/stations/NMBS/008892007,http://irail.be/stations/NMBS/008814118,2018-06-04T08:00:00.000Z,1,10000,133,4899,478
nmbs,http://irail.be/stations/NMBS/008812146,http://irail.be/stations/NMBS/008892007,2018-06-04T09:00:00.000Z,1,10000,133,4938,1793
nmbs,http://irail.be/stations/NMBS/008894201,http://irail.be/stations/NMBS/008892254,2018-06-04T07:00:00.000Z,2,10000,161,6010,690
nmbs,http://irail.be/stations/NMBS/008861200,http://irail.be/stations/NMBS/008822269,2018-06-04T05:00:00.000Z,1,10000,135,6186,2010
nmbs,http://irail.be/stations/NMBS/008872009,http://irail.be/stations/NMBS/008871217,2018-06-04T18:00:00.000Z,0,10000,103,3238,11298
nmbs,http://irail.be/stations/NMBS/008892254,http://irail.be/stations/NMBS/008896735,2018-06-04T19:00:00.000Z,2,10000,116,3563,7684
nmbs,http://irail.be/stations/NMBS/008881406,http://irail.be/stations/NMBS/008815016,2018-06-04T05:00:00.000Z,2,10000,157,7046,809
nmbs,http://irail.be/stations/NMBS/008841525,http://irail.be/stations/NMBS/008814001,2018-06-04T08:00:00.000Z,0,10000,183,6797,727
nmbs,http://irail.be/stations/NMBS/008821436,http://irail.be/stations/NMBS/008821964,2018-06-04T18:00:00.000Z,1,10000,150,4860,1166
nmbs,http://irail.be/stations/NMBS/008861515,http://irail.be/stations/NMBS/008841319,2018-06-04T05:00:00.000Z,2,10000,221,9466,1200
nmbs,http://irail.be/stations/NMBS/008872306,http://irail.be/stations/NMBS/008883006,2018-06-04T18:00:00.000Z,2,10000,169,5393,692
nmbs,http://irail.be/stations/NMBS/008863008,http://irail.be/stations/NMBS/008861531,2018-06-04T13:00:00.000Z,1,10000,99,4009,14636
nmbs,http://irail.be/stations/NMBS/008843133,http://irail.be/stations/NMBS/008833001,2018-06-04T17:00:00.000Z,2,10000,180,6070,12849
nmbs,http://irail.be/stations/NMBS/008811601,http://irail.be/stations/NMBS/008882107,2018-06-04T10:00:00.000Z,1,10000,209,7815,13525
nmbs,http://irail.be/stations/NMBS/008894714,http://irail.be/stations/NMBS/008821659,2018-06-04T16:00:00.000Z,2,10000,223,8106,15676
nmbs,http://irail.be/stations/NMBS/008811437,http://irail.be/stations/NMBS/008814134,2018-06-04T16:00:00.000Z,1,10000,109,4417,512
nmbs,http://irail.be/stations/NMBS/008841004,http://irail.be/stations/NMBS/008821717,2018-06-04T11:00:00.000Z,1,10000,197,7441,5430
nmbs,http://irail.be/stations/NMBS/008822228,http://irail.be/stations/NMBS/008812146,2018-06-04T14:00:00.000Z,1,10000,137,6522,20282
nmbs,http://irail.be/stations/NMBS/008824240,http://irail.be/stations/NMBS/008833001,2018-06-04T12:00:00.000Z,2,10000,193,7973,4107
nmbs,http://irail.be/stations/NMBS/008872413,http://irail.be/stations/NMBS/008815040,2018-06-04T12:00:00.000Z,2,10000,217,9185,1249
