COMPANY,DEPARTURE_STOP,ARRIVAL_STOP,DEPARTURE_TIME,MAX_TRANSFERS,FRAGMENT_SIZE,FRAGMENTS,CONNECTIONS,RESPONSE_TIME
nmbs,http://irail.be/stations/NMBS/008841608,http://irail.be/stations/NMBS/008841319,2018-06-14T17:00:00.000Z,2,10000000,2,9176,4744
nmbs,http://irail.be/stations/NMBS/008841608,http://irail.be/stations/NMBS/008841319,2018-06-14T17:00:00.000Z,2,10000000,2,9176,4179
nmbs,http://irail.be/stations/NMBS/008831005,http://irail.be/stations/NMBS/008831310,2018-06-14T15:20:00.000Z,1,10000000,2,13765,4390
nmbs,http://irail.be/stations/NMBS/008831005,http://irail.be/stations/NMBS/008831310,2018-06-14T15:20:00.000Z,1,10000000,2,13765,4519
nmbs,http://irail.be/stations/NMBS/008811155,http://irail.be/stations/NMBS/008814415,2018-06-14T16:20:00.000Z,1,10000000,2,10887,4183
nmbs,http://irail.be/stations/NMBS/008811155,http://irail.be/stations/NMBS/008814415,2018-06-14T16:20:00.000Z,1,10000000,2,10887,4233
nmbs,http://irail.be/stations/NMBS/008881166,http://irail.be/stations/NMBS/008886553,2018-06-14T15:30:00.000Z,2,10000000,2,13274,4307
nmbs,http://irail.be/stations/NMBS/008881166,http://irail.be/stations/NMBS/008886553,2018-06-14T15:30:00.000Z,2,10000000,2,13274,4346
nmbs,http://irail.be/stations/NMBS/008814308,http://irail.be/stations/NMBS/008833209,2018-06-14T14:40:00.000Z,3,10000000,2,15819,4611
nmbs,http://irail.be/stations/NMBS/008814308,http://irail.be/stations/NMBS/008833209,2018-06-14T14:40:00.000Z,3,10000000,2,15819,4479
nmbs,http://irail.be/stations/NMBS/008811189,http://irail.be/stations/NMBS/008821246,2018-06-14T15:00:00.000Z,0,10000000,2,14803,4392
nmbs,http://irail.be/stations/NMBS/008811189,http://irail.be/stations/NMBS/008821246,2018-06-14T15:00:00.000Z,0,10000000,2,14803,4410
nmbs,http://irail.be/stations/NMBS/008861200,http://irail.be/stations/NMBS/008872306,2018-06-14T16:00:00.000Z,3,10000000,2,11816,4332
nmbs,http://irail.be/stations/NMBS/008861200,http://irail.be/stations/NMBS/008872306,2018-06-14T16:00:00.000Z,3,10000000,2,11816,4309
nmbs,http://irail.be/stations/NMBS/008863404,http://irail.be/stations/NMBS/008841558,2018-06-14T14:50:00.000Z,1,10000000,2,15292,4634
nmbs,http://irail.be/stations/NMBS/008863404,http://irail.be/stations/NMBS/008841558,2018-06-14T14:50:00.000Z,1,10000000,2,15292,4359
nmbs,http://irail.be/stations/NMBS/008833233,http://irail.be/stations/NMBS/008814308,2018-06-14T14:50:00.000Z,3,10000000,2,15292,4744
nmbs,http://irail.be/stations/NMBS/008833233,http://irail.be/stations/NMBS/008814308,2018-06-14T14:50:00.000Z,3,10000000,2,15292,4438
nmbs,http://irail.be/stations/NMBS/008822343,http://irail.be/stations/NMBS/008821964,2018-06-14T15:30:00.000Z,1,10000000,2,13274,4445
nmbs,http://irail.be/stations/NMBS/008822343,http://irail.be/stations/NMBS/008821964,2018-06-14T15:30:00.000Z,1,10000000,2,13274,4363
