COMPANY,DEPARTURE_STOP,ARRIVAL_STOP,DEPARTURE_TIME,MAX_TRANSFERS,FRAGMENT_SIZE,FRAGMENTS,CONNECTIONS,RESPONSE_TIME
nmbs,http://irail.be/stations/NMBS/008882701,http://irail.be/stations/NMBS/008882107,2018-06-07T07:00:00.000Z,1,10000,67,2466,934
nmbs,http://irail.be/stations/NMBS/008882701,http://irail.be/stations/NMBS/008882107,2018-06-07T07:00:00.000Z,1,10000,67,2466,826
nmbs,http://irail.be/stations/NMBS/008811726,http://irail.be/stations/NMBS/008811601,2018-06-07T07:00:00.000Z,1,10000,81,2991,918
nmbs,http://irail.be/stations/NMBS/008811726,http://irail.be/stations/NMBS/008811601,2018-06-07T07:00:00.000Z,1,10000,81,2991,913
nmbs,http://irail.be/stations/NMBS/008811197,http://irail.be/stations/NMBS/008861200,2018-06-07T08:00:00.000Z,2,10000,125,4601,1361
nmbs,http://irail.be/stations/NMBS/008811197,http://irail.be/stations/NMBS/008861200,2018-06-07T08:00:00.000Z,2,10000,125,4601,1474
nmbs,http://irail.be/stations/NMBS/008841608,http://irail.be/stations/NMBS/008841319,2018-06-07T04:00:00.000Z,1,10000,100,4530,1227
nmbs,http://irail.be/stations/NMBS/008841608,http://irail.be/stations/NMBS/008841319,2018-06-07T04:00:00.000Z,1,10000,100,4530,1265
nmbs,http://irail.be/stations/NMBS/008832409,http://irail.be/stations/NMBS/008822004,2018-06-07T18:00:00.000Z,3,10000,170,5411,2076
nmbs,http://irail.be/stations/NMBS/008832409,http://irail.be/stations/NMBS/008822004,2018-06-07T18:00:00.000Z,3,10000,170,5411,2156
nmbs,http://irail.be/stations/NMBS/008842838,http://irail.be/stations/NMBS/008841665,2018-06-07T08:00:00.000Z,2,10000,145,5352,1721
nmbs,http://irail.be/stations/NMBS/008842838,http://irail.be/stations/NMBS/008841665,2018-06-07T08:00:00.000Z,2,10000,145,5352,1626
nmbs,http://irail.be/stations/NMBS/008814423,http://irail.be/stations/NMBS/008886009,2018-06-07T14:00:00.000Z,3,10000,107,5120,1319
nmbs,http://irail.be/stations/NMBS/008814423,http://irail.be/stations/NMBS/008886009,2018-06-07T14:00:00.000Z,3,10000,107,5120,1320
nmbs,http://irail.be/stations/NMBS/008842036,http://irail.be/stations/NMBS/008812260,2018-06-07T18:00:00.000Z,3,10000,177,5575,1946
nmbs,http://irail.be/stations/NMBS/008842036,http://irail.be/stations/NMBS/008812260,2018-06-07T18:00:00.000Z,3,10000,177,5575,1957
nmbs,http://irail.be/stations/NMBS/008728683,http://irail.be/stations/NMBS/008895448,2018-06-07T18:00:00.000Z,3,10000,177,5575,2066
nmbs,http://irail.be/stations/NMBS/008728683,http://irail.be/stations/NMBS/008895448,2018-06-07T18:00:00.000Z,3,10000,177,5575,2145
nmbs,http://irail.be/stations/NMBS/008814209,http://irail.be/stations/NMBS/008893013,2018-06-07T17:00:00.000Z,2,10000,175,5852,1816
nmbs,http://irail.be/stations/NMBS/008814209,http://irail.be/stations/NMBS/008893013,2018-06-07T17:00:00.000Z,2,10000,175,5852,1732
nmbs,http://irail.be/stations/NMBS/008894433,http://irail.be/stations/NMBS/008814001,2018-06-07T08:00:00.000Z,2,10000,173,6444,1814
nmbs,http://irail.be/stations/NMBS/008894433,http://irail.be/stations/NMBS/008814001,2018-06-07T08:00:00.000Z,2,10000,173,6444,1838
nmbs,http://irail.be/stations/NMBS/008883311,http://irail.be/stations/NMBS/008814126,2018-06-07T11:00:00.000Z,1,10000,181,6774,1796
nmbs,http://irail.be/stations/NMBS/008883311,http://irail.be/stations/NMBS/008814126,2018-06-07T11:00:00.000Z,1,10000,181,6774,1793
nmbs,http://irail.be/stations/NMBS/008863461,http://irail.be/stations/NMBS/008861424,2018-06-07T04:00:00.000Z,1,10000,148,6863,1683
nmbs,http://irail.be/stations/NMBS/008863461,http://irail.be/stations/NMBS/008861424,2018-06-07T04:00:00.000Z,1,10000,148,6863,1655
nmbs,http://irail.be/stations/NMBS/008824158,http://irail.be/stations/NMBS/008872009,2018-06-07T17:00:00.000Z,2,10000,214,7226,2175
nmbs,http://irail.be/stations/NMBS/008824158,http://irail.be/stations/NMBS/008872009,2018-06-07T17:00:00.000Z,2,10000,214,7226,2213
nmbs,http://irail.be/stations/NMBS/008811148,http://irail.be/stations/NMBS/008833126,2018-06-07T05:00:00.000Z,2,10000,185,8080,2106
nmbs,http://irail.be/stations/NMBS/008811148,http://irail.be/stations/NMBS/008833126,2018-06-07T05:00:00.000Z,2,10000,185,8080,2063
nmbs,http://irail.be/stations/NMBS/008895877,http://irail.be/stations/NMBS/008821238,2018-06-07T15:00:00.000Z,1,10000,209,8762,2391
nmbs,http://irail.be/stations/NMBS/008895877,http://irail.be/stations/NMBS/008821238,2018-06-07T15:00:00.000Z,1,10000,209,8762,2271
nmbs,http://irail.be/stations/NMBS/008871647,http://irail.be/stations/NMBS/008871688,2018-06-08T00:00:00.000Z,3,10000,190,8149,1537
nmbs,http://irail.be/stations/NMBS/008871647,http://irail.be/stations/NMBS/008871688,2018-06-08T00:00:00.000Z,3,10000,190,8149,1518
nmbs,http://irail.be/stations/NMBS/008812252,http://irail.be/stations/NMBS/008895430,2018-06-07T03:00:00.000Z,3,10000,218,9395,2314
