COMPANY,FRAGMENT_SIZE,REQUESTS,RESPONSE_TIME
NMBS,500000,9,1719
NMBS,500000,9,1216
NMBS,500000,9,1182
NMBS,500000,9,1187
NMBS,500000,9,1171
NMBS,500000,9,1172
NMBS,500000,9,1172
NMBS,500000,9,1154
NMBS,500000,9,1125
NMBS,500000,9,1174
NMBS,500000,9,1128
NMBS,500000,9,1143
NMBS,500000,9,1151
NMBS,500000,9,1136
NMBS,500000,9,1126
NMBS,500000,9,1123
NMBS,500000,9,1150
NMBS,500000,9,1111
NMBS,500000,9,1121
NMBS,500000,9,1126
NMBS,500000,9,1123
NMBS,500000,9,1124
NMBS,500000,9,1134
NMBS,500000,9,1136
NMBS,500000,9,1176
NMBS,500000,9,1284
NMBS,500000,9,1242
NMBS,500000,9,1128
NMBS,500000,9,1139
NMBS,500000,9,1150
NMBS,500000,9,1115
NMBS,500000,9,1122
NMBS,500000,9,1116
NMBS,500000,9,1124
NMBS,500000,9,1122
NMBS,500000,9,1121
NMBS,500000,9,1141
NMBS,500000,9,1118
NMBS,500000,9,1115
NMBS,500000,9,1134
NMBS,500000,9,1115
NMBS,500000,9,1124
NMBS,500000,9,1121
NMBS,500000,9,1133
NMBS,500000,9,1120
NMBS,500000,9,1118
NMBS,500000,9,1105
NMBS,500000,9,1121
NMBS,500000,9,1123
NMBS,500000,9,1129
NMBS,500000,9,1113
NMBS,500000,9,1136
NMBS,500000,9,1117
NMBS,500000,9,1120
NMBS,500000,9,1130
NMBS,500000,9,1126
NMBS,500000,9,1111
NMBS,500000,9,1144
NMBS,500000,9,1133
NMBS,500000,9,1122
NMBS,500000,9,1132
NMBS,500000,9,1129
NMBS,500000,9,1122
NMBS,500000,9,1125
NMBS,500000,9,1126
NMBS,500000,9,1132
NMBS,500000,9,1124
NMBS,500000,9,1115
NMBS,500000,9,1109
NMBS,500000,9,1130
NMBS,500000,9,1112
NMBS,500000,9,1138
NMBS,500000,9,1129
NMBS,500000,9,1135
NMBS,500000,9,1121
NMBS,500000,9,1117
NMBS,500000,9,1125
NMBS,500000,9,1108
NMBS,500000,9,1116
NMBS,500000,9,1111
NMBS,500000,9,1127
NMBS,500000,9,1101
NMBS,500000,9,1109
NMBS,500000,9,1111
NMBS,500000,9,1105
NMBS,500000,9,1128
NMBS,500000,9,1127
NMBS,500000,9,1117
NMBS,500000,9,1136
NMBS,500000,9,1111
NMBS,500000,9,1113
NMBS,500000,9,1119
NMBS,500000,9,1130
NMBS,500000,9,1129
NMBS,500000,9,1124
NMBS,500000,9,1121
NMBS,500000,9,1128
NMBS,500000,9,1138
NMBS,500000,9,1112
NMBS,500000,9,1115
