COMPANY,DEPARTURE_STOP,ARRIVAL_STOP,DEPARTURE_TIME,MAX_TRANSFERS,FRAGMENT_SIZE,FRAGMENTS,CONNECTIONS,RESPONSE_TIME
nmbs,http://irail.be/stations/NMBS/008841608,http://irail.be/stations/NMBS/008841319,2018-06-14T17:00:00.000Z,2,3000000,2,5638,1898
nmbs,http://irail.be/stations/NMBS/008841608,http://irail.be/stations/NMBS/008841319,2018-06-14T17:00:00.000Z,2,3000000,2,5638,1660
nmbs,http://irail.be/stations/NMBS/008811155,http://irail.be/stations/NMBS/008814415,2018-06-14T16:20:00.000Z,1,3000000,3,7357,3040
nmbs,http://irail.be/stations/NMBS/008811155,http://irail.be/stations/NMBS/008814415,2018-06-14T16:20:00.000Z,1,3000000,3,7357,3056
nmbs,http://irail.be/stations/NMBS/008814308,http://irail.be/stations/NMBS/008833209,2018-06-14T14:40:00.000Z,3,3000000,2,5920,2127
nmbs,http://irail.be/stations/NMBS/008814308,http://irail.be/stations/NMBS/008833209,2018-06-14T14:40:00.000Z,3,3000000,2,5920,2189
nmbs,http://irail.be/stations/NMBS/008861200,http://irail.be/stations/NMBS/008872306,2018-06-14T16:00:00.000Z,3,3000000,3,8300,3360
nmbs,http://irail.be/stations/NMBS/008861200,http://irail.be/stations/NMBS/008872306,2018-06-14T16:00:00.000Z,3,3000000,3,8300,3844
nmbs,http://irail.be/stations/NMBS/008833233,http://irail.be/stations/NMBS/008814308,2018-06-14T14:50:00.000Z,3,3000000,2,5397,2326
nmbs,http://irail.be/stations/NMBS/008833233,http://irail.be/stations/NMBS/008814308,2018-06-14T14:50:00.000Z,3,3000000,2,5397,2387
nmbs,http://irail.be/stations/NMBS/008822343,http://irail.be/stations/NMBS/008821071,2018-06-14T15:10:00.000Z,1,3000000,3,11000,2972
nmbs,http://irail.be/stations/NMBS/008822343,http://irail.be/stations/NMBS/008821071,2018-06-14T15:10:00.000Z,1,3000000,3,11000,3120
nmbs,http://irail.be/stations/NMBS/008811221,http://irail.be/stations/NMBS/008833050,2018-06-14T15:00:00.000Z,3,3000000,3,11540,3181
nmbs,http://irail.be/stations/NMBS/008811221,http://irail.be/stations/NMBS/008833050,2018-06-14T15:00:00.000Z,3,3000000,3,11540,3052
nmbs,http://irail.be/stations/NMBS/008883436,http://irail.be/stations/NMBS/008881000,2018-06-14T16:20:00.000Z,2,3000000,3,7357,3208
nmbs,http://irail.be/stations/NMBS/008883436,http://irail.be/stations/NMBS/008881000,2018-06-14T16:20:00.000Z,2,3000000,3,7357,3280
nmbs,http://irail.be/stations/NMBS/008833001,http://irail.be/stations/NMBS/008821717,2018-06-14T16:40:00.000Z,1,3000000,2,6455,1824
nmbs,http://irail.be/stations/NMBS/008833001,http://irail.be/stations/NMBS/008821717,2018-06-14T16:40:00.000Z,1,3000000,2,6455,1840
nmbs,http://irail.be/stations/NMBS/008885522,http://irail.be/stations/NMBS/008886009,2018-06-14T15:50:00.000Z,3,3000000,3,8774,3180
nmbs,http://irail.be/stations/NMBS/008885522,http://irail.be/stations/NMBS/008886009,2018-06-14T15:50:00.000Z,3,3000000,3,8774,3385
nmbs,http://irail.be/stations/NMBS/008881406,http://irail.be/stations/NMBS/008881190,2018-06-14T17:00:00.000Z,2,3000000,3,12323,2518
nmbs,http://irail.be/stations/NMBS/008881406,http://irail.be/stations/NMBS/008881190,2018-06-14T17:00:00.000Z,2,3000000,3,12323,2401
nmbs,http://irail.be/stations/NMBS/008812229,http://irail.be/stations/NMBS/008841327,2018-06-14T14:40:00.000Z,3,3000000,3,12559,3044
nmbs,http://irail.be/stations/NMBS/008812229,http://irail.be/stations/NMBS/008841327,2018-06-14T14:40:00.000Z,3,3000000,3,12559,3087
nmbs,http://irail.be/stations/NMBS/008833159,http://irail.be/stations/NMBS/008811528,2018-06-14T15:20:00.000Z,3,3000000,3,10407,2903
nmbs,http://irail.be/stations/NMBS/008833159,http://irail.be/stations/NMBS/008811528,2018-06-14T15:20:00.000Z,3,3000000,3,10407,2988
nmbs,http://irail.be/stations/NMBS/008833209,http://irail.be/stations/NMBS/008832227,2018-06-14T16:50:00.000Z,1,3000000,3,12715,2486
nmbs,http://irail.be/stations/NMBS/008833209,http://irail.be/stations/NMBS/008832227,2018-06-14T16:50:00.000Z,1,3000000,3,12715,2588
nmbs,http://irail.be/stations/NMBS/008863008,http://irail.be/stations/NMBS/008871332,2018-06-14T16:20:00.000Z,2,3000000,4,14042,3964
nmbs,http://irail.be/stations/NMBS/008863008,http://irail.be/stations/NMBS/008871332,2018-06-14T16:20:00.000Z,2,3000000,4,14042,3894
nmbs,http://irail.be/stations/NMBS/008821071,http://irail.be/stations/NMBS/008811528,2018-06-14T15:30:00.000Z,1,3000000,3,9838,3328
nmbs,http://irail.be/stations/NMBS/008821071,http://irail.be/stations/NMBS/008811528,2018-06-14T15:30:00.000Z,1,3000000,3,9838,3469
nmbs,http://irail.be/stations/NMBS/008831039,http://irail.be/stations/NMBS/008821147,2018-06-14T15:50:00.000Z,1,3000000,3,8774,3435
nmbs,http://irail.be/stations/NMBS/008831039,http://irail.be/stations/NMBS/008821147,2018-06-14T15:50:00.000Z,1,3000000,3,8774,3418
nmbs,http://irail.be/stations/NMBS/008814340,http://irail.be/stations/NMBS/008896925,2018-06-14T16:10:00.000Z,2,3000000,4,14511,4041
nmbs,http://irail.be/stations/NMBS/008814340,http://irail.be/stations/NMBS/008896925,2018-06-14T16:10:00.000Z,2,3000000,4,14511,3992
