COMPANY,DEPARTURE_STOP,ARRIVAL_STOP,DEPARTURE_TIME,MAX_TRANSFERS,FRAGMENT_SIZE,FRAGMENTS,CONNECTIONS,RESPONSE_TIME
nmbs,http://irail.be/stations/NMBS/008841608,http://irail.be/stations/NMBS/008841319,2018-06-14T17:00:00.000Z,2,300000,7,3693,812
nmbs,http://irail.be/stations/NMBS/008841608,http://irail.be/stations/NMBS/008841319,2018-06-14T17:00:00.000Z,2,300000,7,3693,640
nmbs,http://irail.be/stations/NMBS/008831005,http://irail.be/stations/NMBS/008831310,2018-06-14T15:20:00.000Z,1,300000,6,2828,577
nmbs,http://irail.be/stations/NMBS/008831005,http://irail.be/stations/NMBS/008831310,2018-06-14T15:20:00.000Z,1,300000,6,2828,567
nmbs,http://irail.be/stations/NMBS/008811155,http://irail.be/stations/NMBS/008814415,2018-06-14T16:20:00.000Z,1,300000,8,4722,774
nmbs,http://irail.be/stations/NMBS/008811155,http://irail.be/stations/NMBS/008814415,2018-06-14T16:20:00.000Z,1,300000,8,4722,748
nmbs,http://irail.be/stations/NMBS/008881166,http://irail.be/stations/NMBS/008886553,2018-06-14T15:30:00.000Z,2,300000,8,4380,777
nmbs,http://irail.be/stations/NMBS/008881166,http://irail.be/stations/NMBS/008886553,2018-06-14T15:30:00.000Z,2,300000,8,4380,764
nmbs,http://irail.be/stations/NMBS/008814308,http://irail.be/stations/NMBS/008833209,2018-06-14T14:40:00.000Z,3,300000,11,6252,1045
nmbs,http://irail.be/stations/NMBS/008814308,http://irail.be/stations/NMBS/008833209,2018-06-14T14:40:00.000Z,3,300000,11,6252,968
nmbs,http://irail.be/stations/NMBS/008811189,http://irail.be/stations/NMBS/008821246,2018-06-14T15:00:00.000Z,0,300000,9,5236,741
nmbs,http://irail.be/stations/NMBS/008811189,http://irail.be/stations/NMBS/008821246,2018-06-14T15:00:00.000Z,0,300000,9,5236,729
nmbs,http://irail.be/stations/NMBS/008861200,http://irail.be/stations/NMBS/008872306,2018-06-14T16:00:00.000Z,3,300000,9,4987,776
nmbs,http://irail.be/stations/NMBS/008861200,http://irail.be/stations/NMBS/008872306,2018-06-14T16:00:00.000Z,3,300000,9,4987,772
nmbs,http://irail.be/stations/NMBS/008863404,http://irail.be/stations/NMBS/008841558,2018-06-14T14:50:00.000Z,1,300000,10,5725,847
nmbs,http://irail.be/stations/NMBS/008863404,http://irail.be/stations/NMBS/008841558,2018-06-14T14:50:00.000Z,1,300000,10,5725,836
nmbs,http://irail.be/stations/NMBS/008833233,http://irail.be/stations/NMBS/008814308,2018-06-14T14:50:00.000Z,3,300000,9,5035,794
nmbs,http://irail.be/stations/NMBS/008833233,http://irail.be/stations/NMBS/008814308,2018-06-14T14:50:00.000Z,3,300000,9,5035,759
nmbs,http://irail.be/stations/NMBS/008822343,http://irail.be/stations/NMBS/008821964,2018-06-14T15:30:00.000Z,1,300000,10,5771,832
nmbs,http://irail.be/stations/NMBS/008822343,http://irail.be/stations/NMBS/008821964,2018-06-14T15:30:00.000Z,1,300000,10,5771,837
nmbs,http://irail.be/stations/NMBS/008822343,http://irail.be/stations/NMBS/008821071,2018-06-14T15:10:00.000Z,1,300000,11,6785,973
nmbs,http://irail.be/stations/NMBS/008822343,http://irail.be/stations/NMBS/008821071,2018-06-14T15:10:00.000Z,1,300000,11,6785,953
nmbs,http://irail.be/stations/NMBS/008822111,http://irail.be/stations/NMBS/008833209,2018-06-14T16:30:00.000Z,3,300000,11,6309,921
nmbs,http://irail.be/stations/NMBS/008822111,http://irail.be/stations/NMBS/008833209,2018-06-14T16:30:00.000Z,3,300000,11,6309,951
nmbs,http://irail.be/stations/NMBS/008811221,http://irail.be/stations/NMBS/008833050,2018-06-14T15:00:00.000Z,3,300000,10,5909,863
nmbs,http://irail.be/stations/NMBS/008811221,http://irail.be/stations/NMBS/008833050,2018-06-14T15:00:00.000Z,3,300000,10,5909,854
nmbs,http://irail.be/stations/NMBS/008811767,http://irail.be/stations/NMBS/008883311,2018-06-14T14:10:00.000Z,3,300000,15,9079,1358
nmbs,http://irail.be/stations/NMBS/008811767,http://irail.be/stations/NMBS/008883311,2018-06-14T14:10:00.000Z,3,300000,15,9079,1325
nmbs,http://irail.be/stations/NMBS/008883436,http://irail.be/stations/NMBS/008881000,2018-06-14T16:20:00.000Z,2,300000,10,6086,846
nmbs,http://irail.be/stations/NMBS/008883436,http://irail.be/stations/NMBS/008881000,2018-06-14T16:20:00.000Z,2,300000,10,6086,825
nmbs,http://irail.be/stations/NMBS/008895000,http://irail.be/stations/NMBS/008811007,2018-06-14T14:30:00.000Z,2,300000,10,6081,853
nmbs,http://irail.be/stations/NMBS/008895000,http://irail.be/stations/NMBS/008811007,2018-06-14T14:30:00.000Z,2,300000,10,6081,847
nmbs,http://irail.be/stations/NMBS/008833001,http://irail.be/stations/NMBS/008821717,2018-06-14T16:40:00.000Z,1,300000,11,6535,932
nmbs,http://irail.be/stations/NMBS/008833001,http://irail.be/stations/NMBS/008821717,2018-06-14T16:40:00.000Z,1,300000,11,6535,935
nmbs,http://irail.be/stations/NMBS/008891702,http://irail.be/stations/NMBS/008893559,2018-06-14T15:30:00.000Z,3,300000,11,6445,977
nmbs,http://irail.be/stations/NMBS/008891702,http://irail.be/stations/NMBS/008893559,2018-06-14T15:30:00.000Z,3,300000,11,6445,956
nmbs,http://irail.be/stations/NMBS/008885522,http://irail.be/stations/NMBS/008886009,2018-06-14T15:50:00.000Z,3,300000,11,6788,988
nmbs,http://irail.be/stations/NMBS/008885522,http://irail.be/stations/NMBS/008886009,2018-06-14T15:50:00.000Z,3,300000,11,6788,963
