COMPANY,FRAGMENT_SIZE,REQUESTS,RESPONSE_TIME
TBS-Barcelona,300000,2,325
TBS-Barcelona,300000,2,98
TBS-Barcelona,300000,2,100
TBS-Barcelona,300000,2,98
TBS-Barcelona,300000,2,95
TBS-Barcelona,300000,2,108
TBS-Barcelona,300000,2,116
TBS-Barcelona,300000,2,89
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,94
TBS-Barcelona,300000,2,95
TBS-Barcelona,300000,2,101
TBS-Barcelona,300000,2,100
TBS-Barcelona,300000,2,126
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,92
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,97
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,92
TBS-Barcelona,300000,2,98
TBS-Barcelona,300000,2,131
TBS-Barcelona,300000,2,94
TBS-Barcelona,300000,2,91
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,96
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,92
TBS-Barcelona,300000,2,121
TBS-Barcelona,300000,2,90
TBS-Barcelona,300000,2,91
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,96
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,95
TBS-Barcelona,300000,2,121
TBS-Barcelona,300000,2,96
TBS-Barcelona,300000,2,88
TBS-Barcelona,300000,2,92
TBS-Barcelona,300000,2,92
TBS-Barcelona,300000,2,95
TBS-Barcelona,300000,2,96
TBS-Barcelona,300000,2,95
TBS-Barcelona,300000,2,119
TBS-Barcelona,300000,2,90
TBS-Barcelona,300000,2,90
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,96
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,94
TBS-Barcelona,300000,2,122
TBS-Barcelona,300000,2,89
TBS-Barcelona,300000,2,88
TBS-Barcelona,300000,2,94
TBS-Barcelona,300000,2,99
TBS-Barcelona,300000,2,95
TBS-Barcelona,300000,2,101
TBS-Barcelona,300000,2,122
TBS-Barcelona,300000,2,95
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,96
TBS-Barcelona,300000,2,92
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,104
TBS-Barcelona,300000,2,108
TBS-Barcelona,300000,2,91
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,96
TBS-Barcelona,300000,2,92
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,123
TBS-Barcelona,300000,2,89
TBS-Barcelona,300000,2,90
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,94
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,95
TBS-Barcelona,300000,2,121
TBS-Barcelona,300000,2,91
TBS-Barcelona,300000,2,91
TBS-Barcelona,300000,2,91
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,98
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,114
TBS-Barcelona,300000,2,99
TBS-Barcelona,300000,2,88
TBS-Barcelona,300000,2,90
TBS-Barcelona,300000,2,93
TBS-Barcelona,300000,2,98
TBS-Barcelona,300000,2,94
TBS-Barcelona,300000,2,96
TBS-Barcelona,300000,2,120
TBS-Barcelona,300000,2,88
TBS-Barcelona,300000,2,89
TBS-Barcelona,300000,2,95
TBS-Barcelona,300000,2,93
