COMPANY,FRAGMENT_SIZE,REQUESTS,RESPONSE_TIME
TBS-Barcelona,50000,5,203
TBS-Barcelona,50000,5,96
TBS-Barcelona,50000,5,103
TBS-Barcelona,50000,5,107
TBS-Barcelona,50000,5,90
TBS-Barcelona,50000,5,88
TBS-Barcelona,50000,5,88
TBS-Barcelona,50000,5,92
TBS-Barcelona,50000,5,105
TBS-Barcelona,50000,5,103
TBS-Barcelona,50000,5,102
TBS-Barcelona,50000,5,83
TBS-Barcelona,50000,5,85
TBS-Barcelona,50000,5,84
TBS-Barcelona,50000,5,78
TBS-Barcelona,50000,5,82
TBS-Barcelona,50000,5,78
TBS-Barcelona,50000,5,78
TBS-Barcelona,50000,5,74
TBS-Barcelona,50000,5,80
TBS-Barcelona,50000,5,79
TBS-Barcelona,50000,5,80
TBS-Barcelona,50000,5,82
TBS-Barcelona,50000,5,80
TBS-Barcelona,50000,5,84
TBS-Barcelona,50000,5,76
TBS-Barcelona,50000,5,77
TBS-Barcelona,50000,5,80
TBS-Barcelona,50000,5,72
TBS-Barcelona,50000,5,81
TBS-Barcelona,50000,5,75
TBS-Barcelona,50000,5,89
TBS-Barcelona,50000,5,80
TBS-Barcelona,50000,5,81
TBS-Barcelona,50000,5,84
TBS-Barcelona,50000,5,81
TBS-Barcelona,50000,5,80
TBS-Barcelona,50000,5,78
TBS-Barcelona,50000,5,75
TBS-Barcelona,50000,5,111
TBS-Barcelona,50000,5,82
TBS-Barcelona,50000,5,77
TBS-Barcelona,50000,5,79
TBS-Barcelona,50000,5,79
TBS-Barcelona,50000,5,73
TBS-Barcelona,50000,5,78
TBS-Barcelona,50000,5,78
TBS-Barcelona,50000,5,72
TBS-Barcelona,50000,5,76
TBS-Barcelona,50000,5,81
TBS-Barcelona,50000,5,76
TBS-Barcelona,50000,5,73
TBS-Barcelona,50000,5,74
TBS-Barcelona,50000,5,76
TBS-Barcelona,50000,5,72
TBS-Barcelona,50000,5,74
TBS-Barcelona,50000,5,76
TBS-Barcelona,50000,5,76
TBS-Barcelona,50000,5,76
TBS-Barcelona,50000,5,75
TBS-Barcelona,50000,5,84
TBS-Barcelona,50000,5,74
TBS-Barcelona,50000,5,76
TBS-Barcelona,50000,5,77
TBS-Barcelona,50000,5,80
TBS-Barcelona,50000,5,100
TBS-Barcelona,50000,5,78
TBS-Barcelona,50000,5,79
TBS-Barcelona,50000,5,76
TBS-Barcelona,50000,5,77
TBS-Barcelona,50000,5,78
TBS-Barcelona,50000,5,78
TBS-Barcelona,50000,5,76
TBS-Barcelona,50000,5,78
TBS-Barcelona,50000,5,76
TBS-Barcelona,50000,5,75
TBS-Barcelona,50000,5,78
TBS-Barcelona,50000,5,77
TBS-Barcelona,50000,5,73
TBS-Barcelona,50000,5,79
TBS-Barcelona,50000,5,75
TBS-Barcelona,50000,5,79
TBS-Barcelona,50000,5,72
TBS-Barcelona,50000,5,75
TBS-Barcelona,50000,5,80
TBS-Barcelona,50000,5,75
TBS-Barcelona,50000,5,74
TBS-Barcelona,50000,5,76
TBS-Barcelona,50000,5,104
TBS-Barcelona,50000,5,79
TBS-Barcelona,50000,5,77
TBS-Barcelona,50000,5,79
TBS-Barcelona,50000,5,73
TBS-Barcelona,50000,5,74
TBS-Barcelona,50000,5,78
TBS-Barcelona,50000,5,79
TBS-Barcelona,50000,5,75
TBS-Barcelona,50000,5,75
TBS-Barcelona,50000,5,79
TBS-Barcelona,50000,5,82
