COMPANY,FRAGMENT_SIZE,REQUESTS,RESPONSE_TIME
TBS-Barcelona,10000,16,264
TBS-Barcelona,10000,16,136
TBS-Barcelona,10000,16,128
TBS-Barcelona,10000,16,120
TBS-Barcelona,10000,16,138
TBS-Barcelona,10000,16,131
TBS-Barcelona,10000,16,119
TBS-Barcelona,10000,16,120
TBS-Barcelona,10000,16,105
TBS-Barcelona,10000,16,112
TBS-Barcelona,10000,16,116
TBS-Barcelona,10000,16,96
TBS-Barcelona,10000,16,100
TBS-Barcelona,10000,16,99
TBS-Barcelona,10000,16,99
TBS-Barcelona,10000,16,103
TBS-Barcelona,10000,16,95
TBS-Barcelona,10000,16,98
TBS-Barcelona,10000,16,102
TBS-Barcelona,10000,16,94
TBS-Barcelona,10000,16,96
TBS-Barcelona,10000,16,109
TBS-Barcelona,10000,16,98
TBS-Barcelona,10000,16,96
TBS-Barcelona,10000,16,99
TBS-Barcelona,10000,16,101
TBS-Barcelona,10000,16,92
TBS-Barcelona,10000,16,99
TBS-Barcelona,10000,16,95
TBS-Barcelona,10000,16,94
TBS-Barcelona,10000,16,98
TBS-Barcelona,10000,16,88
TBS-Barcelona,10000,16,99
TBS-Barcelona,10000,16,94
TBS-Barcelona,10000,16,95
TBS-Barcelona,10000,16,101
TBS-Barcelona,10000,16,90
TBS-Barcelona,10000,16,97
TBS-Barcelona,10000,16,99
TBS-Barcelona,10000,16,97
TBS-Barcelona,10000,16,98
TBS-Barcelona,10000,16,110
TBS-Barcelona,10000,16,102
TBS-Barcelona,10000,16,96
TBS-Barcelona,10000,16,122
TBS-Barcelona,10000,16,96
TBS-Barcelona,10000,16,100
TBS-Barcelona,10000,16,94
TBS-Barcelona,10000,16,94
TBS-Barcelona,10000,16,97
TBS-Barcelona,10000,16,87
TBS-Barcelona,10000,16,95
TBS-Barcelona,10000,16,88
TBS-Barcelona,10000,16,97
TBS-Barcelona,10000,16,91
TBS-Barcelona,10000,16,92
TBS-Barcelona,10000,16,102
TBS-Barcelona,10000,16,90
TBS-Barcelona,10000,16,94
TBS-Barcelona,10000,16,127
TBS-Barcelona,10000,16,107
TBS-Barcelona,10000,16,97
TBS-Barcelona,10000,16,98
TBS-Barcelona,10000,16,91
TBS-Barcelona,10000,16,98
TBS-Barcelona,10000,16,96
TBS-Barcelona,10000,16,93
TBS-Barcelona,10000,16,100
TBS-Barcelona,10000,16,99
TBS-Barcelona,10000,16,92
TBS-Barcelona,10000,16,92
TBS-Barcelona,10000,16,99
TBS-Barcelona,10000,16,87
TBS-Barcelona,10000,16,97
TBS-Barcelona,10000,16,94
TBS-Barcelona,10000,16,94
TBS-Barcelona,10000,16,116
TBS-Barcelona,10000,16,100
TBS-Barcelona,10000,16,89
TBS-Barcelona,10000,16,94
TBS-Barcelona,10000,16,95
TBS-Barcelona,10000,16,91
TBS-Barcelona,10000,16,95
TBS-Barcelona,10000,16,89
TBS-Barcelona,10000,16,91
TBS-Barcelona,10000,16,95
TBS-Barcelona,10000,16,97
TBS-Barcelona,10000,16,86
TBS-Barcelona,10000,16,94
TBS-Barcelona,10000,16,94
TBS-Barcelona,10000,16,98
TBS-Barcelona,10000,16,115
TBS-Barcelona,10000,16,104
TBS-Barcelona,10000,16,97
TBS-Barcelona,10000,16,88
TBS-Barcelona,10000,16,92
TBS-Barcelona,10000,16,121
TBS-Barcelona,10000,16,90
TBS-Barcelona,10000,16,87
TBS-Barcelona,10000,16,96
