COMPANY,DEPARTURE_STOP,ARRIVAL_STOP,DEPARTURE_TIME,MAX_TRANSFERS,FRAGMENT_SIZE,FRAGMENTS,CONNECTIONS,RESPONSE_TIME
tbs-barcelona,https://barcelona.tbs.es/stops/22,https://barcelona.tbs.es/stops/21,2018-06-07T20:00:00.000Z,2,300000,2,286,315
tbs-barcelona,https://barcelona.tbs.es/stops/22,https://barcelona.tbs.es/stops/21,2018-06-07T20:00:00.000Z,2,300000,2,286,185
tbs-barcelona,https://barcelona.tbs.es/stops/22,https://barcelona.tbs.es/stops/21,2018-06-07T20:00:00.000Z,2,300000,2,286,169
tbs-barcelona,https://barcelona.tbs.es/stops/8,https://barcelona.tbs.es/stops/9,2018-06-07T13:00:00.000Z,2,300000,2,690,188
tbs-barcelona,https://barcelona.tbs.es/stops/8,https://barcelona.tbs.es/stops/9,2018-06-07T13:00:00.000Z,2,300000,2,690,205
tbs-barcelona,https://barcelona.tbs.es/stops/8,https://barcelona.tbs.es/stops/9,2018-06-07T13:00:00.000Z,2,300000,2,690,194
tbs-barcelona,https://barcelona.tbs.es/stops/27,https://barcelona.tbs.es/stops/23,2018-06-08T00:00:00.000Z,0,300000,2,441,192
tbs-barcelona,https://barcelona.tbs.es/stops/27,https://barcelona.tbs.es/stops/23,2018-06-08T00:00:00.000Z,0,300000,2,441,172
tbs-barcelona,https://barcelona.tbs.es/stops/27,https://barcelona.tbs.es/stops/23,2018-06-08T00:00:00.000Z,0,300000,2,441,170
tbs-barcelona,https://barcelona.tbs.es/stops/21,https://barcelona.tbs.es/stops/6,2018-06-08T00:00:00.000Z,0,300000,2,441,195
tbs-barcelona,https://barcelona.tbs.es/stops/21,https://barcelona.tbs.es/stops/6,2018-06-08T00:00:00.000Z,0,300000,2,441,201
tbs-barcelona,https://barcelona.tbs.es/stops/21,https://barcelona.tbs.es/stops/6,2018-06-08T00:00:00.000Z,0,300000,2,441,164
tbs-barcelona,https://barcelona.tbs.es/stops/13,https://barcelona.tbs.es/stops/14,2018-06-08T00:00:00.000Z,2,300000,2,441,162
