COMPANY,FRAGMENT_SIZE,REQUESTS,RESPONSE_TIME
TBX-Barcelona,1000000,1,733
TBX-Barcelona,1000000,1,394
TBX-Barcelona,1000000,1,385
TBX-Barcelona,1000000,1,343
TBX-Barcelona,1000000,1,399
TBX-Barcelona,1000000,1,346
TBX-Barcelona,1000000,1,391
TBX-Barcelona,1000000,1,456
TBX-Barcelona,1000000,1,326
TBX-Barcelona,1000000,1,308
TBX-Barcelona,1000000,1,341
TBX-Barcelona,1000000,1,302
TBX-Barcelona,1000000,1,314
TBX-Barcelona,1000000,1,346
TBX-Barcelona,1000000,1,304
TBX-Barcelona,1000000,1,306
TBX-Barcelona,1000000,1,338
TBX-Barcelona,1000000,1,300
TBX-Barcelona,1000000,1,316
TBX-Barcelona,1000000,1,344
TBX-Barcelona,1000000,1,304
TBX-Barcelona,1000000,1,307
TBX-Barcelona,1000000,1,334
TBX-Barcelona,1000000,1,301
TBX-Barcelona,1000000,1,312
TBX-Barcelona,1000000,1,332
TBX-Barcelona,1000000,1,307
TBX-Barcelona,1000000,1,336
TBX-Barcelona,1000000,1,302
TBX-Barcelona,1000000,1,309
TBX-Barcelona,1000000,1,332
TBX-Barcelona,1000000,1,307
TBX-Barcelona,1000000,1,341
TBX-Barcelona,1000000,1,297
TBX-Barcelona,1000000,1,305
TBX-Barcelona,1000000,1,343
TBX-Barcelona,1000000,1,298
TBX-Barcelona,1000000,1,317
TBX-Barcelona,1000000,1,339
TBX-Barcelona,1000000,1,303
TBX-Barcelona,1000000,1,308
TBX-Barcelona,1000000,1,340
TBX-Barcelona,1000000,1,302
TBX-Barcelona,1000000,1,308
TBX-Barcelona,1000000,1,338
TBX-Barcelona,1000000,1,304
TBX-Barcelona,1000000,1,332
TBX-Barcelona,1000000,1,311
TBX-Barcelona,1000000,1,309
TBX-Barcelona,1000000,1,360
TBX-Barcelona,1000000,1,318
TBX-Barcelona,1000000,1,349
TBX-Barcelona,1000000,1,394
TBX-Barcelona,1000000,1,303
TBX-Barcelona,1000000,1,320
TBX-Barcelona,1000000,1,378
TBX-Barcelona,1000000,1,343
TBX-Barcelona,1000000,1,397
TBX-Barcelona,1000000,1,380
TBX-Barcelona,1000000,1,401
TBX-Barcelona,1000000,1,367
TBX-Barcelona,1000000,1,436
TBX-Barcelona,1000000,1,390
TBX-Barcelona,1000000,1,487
TBX-Barcelona,1000000,1,398
TBX-Barcelona,1000000,1,400
TBX-Barcelona,1000000,1,385
TBX-Barcelona,1000000,1,361
TBX-Barcelona,1000000,1,481
TBX-Barcelona,1000000,1,377
TBX-Barcelona,1000000,1,346
TBX-Barcelona,1000000,1,362
TBX-Barcelona,1000000,1,312
TBX-Barcelona,1000000,1,338
TBX-Barcelona,1000000,1,360
TBX-Barcelona,1000000,1,303
TBX-Barcelona,1000000,1,309
TBX-Barcelona,1000000,1,341
TBX-Barcelona,1000000,1,291
TBX-Barcelona,1000000,1,311
TBX-Barcelona,1000000,1,336
TBX-Barcelona,1000000,1,294
TBX-Barcelona,1000000,1,307
TBX-Barcelona,1000000,1,342
TBX-Barcelona,1000000,1,292
TBX-Barcelona,1000000,1,310
TBX-Barcelona,1000000,1,335
TBX-Barcelona,1000000,1,297
TBX-Barcelona,1000000,1,312
TBX-Barcelona,1000000,1,339
TBX-Barcelona,1000000,1,300
TBX-Barcelona,1000000,1,310
TBX-Barcelona,1000000,1,345
TBX-Barcelona,1000000,1,295
TBX-Barcelona,1000000,1,313
TBX-Barcelona,1000000,1,320
TBX-Barcelona,1000000,1,310
TBX-Barcelona,1000000,1,346
TBX-Barcelona,1000000,1,303
TBX-Barcelona,1000000,1,307
