COMPANY,FRAGMENT_SIZE,REQUESTS,RESPONSE_TIME
TBX-Barcelona,300000,3,443
TBX-Barcelona,300000,3,223
TBX-Barcelona,300000,3,240
TBX-Barcelona,300000,3,252
TBX-Barcelona,300000,3,225
TBX-Barcelona,300000,3,217
TBX-Barcelona,300000,3,201
TBX-Barcelona,300000,3,208
TBX-Barcelona,300000,3,219
TBX-Barcelona,300000,3,190
TBX-Barcelona,300000,3,189
TBX-Barcelona,300000,3,195
TBX-Barcelona,300000,3,206
TBX-Barcelona,300000,3,197
TBX-Barcelona,300000,3,239
TBX-Barcelona,300000,3,186
TBX-Barcelona,300000,3,189
TBX-Barcelona,300000,3,193
TBX-Barcelona,300000,3,201
TBX-Barcelona,300000,3,188
TBX-Barcelona,300000,3,201
TBX-Barcelona,300000,3,194
TBX-Barcelona,300000,3,221
TBX-Barcelona,300000,3,200
TBX-Barcelona,300000,3,185
TBX-Barcelona,300000,3,194
TBX-Barcelona,300000,3,197
TBX-Barcelona,300000,3,201
TBX-Barcelona,300000,3,192
TBX-Barcelona,300000,3,184
TBX-Barcelona,300000,3,195
TBX-Barcelona,300000,3,233
TBX-Barcelona,300000,3,188
TBX-Barcelona,300000,3,184
TBX-Barcelona,300000,3,187
TBX-Barcelona,300000,3,206
TBX-Barcelona,300000,3,184
TBX-Barcelona,300000,3,191
TBX-Barcelona,300000,3,194
TBX-Barcelona,300000,3,205
TBX-Barcelona,300000,3,189
TBX-Barcelona,300000,3,201
TBX-Barcelona,300000,3,194
TBX-Barcelona,300000,3,233
TBX-Barcelona,300000,3,184
TBX-Barcelona,300000,3,190
TBX-Barcelona,300000,3,187
TBX-Barcelona,300000,3,183
TBX-Barcelona,300000,3,203
TBX-Barcelona,300000,3,189
TBX-Barcelona,300000,3,189
TBX-Barcelona,300000,3,209
TBX-Barcelona,300000,3,201
TBX-Barcelona,300000,3,191
TBX-Barcelona,300000,3,195
TBX-Barcelona,300000,3,207
TBX-Barcelona,300000,3,210
TBX-Barcelona,300000,3,233
TBX-Barcelona,300000,3,193
TBX-Barcelona,300000,3,188
TBX-Barcelona,300000,3,196
TBX-Barcelona,300000,3,194
TBX-Barcelona,300000,3,186
TBX-Barcelona,300000,3,183
TBX-Barcelona,300000,3,204
TBX-Barcelona,300000,3,184
TBX-Barcelona,300000,3,188
TBX-Barcelona,300000,3,200
TBX-Barcelona,300000,3,200
TBX-Barcelona,300000,3,190
TBX-Barcelona,300000,3,199
TBX-Barcelona,300000,3,188
TBX-Barcelona,300000,3,204
TBX-Barcelona,300000,3,229
TBX-Barcelona,300000,3,184
TBX-Barcelona,300000,3,188
TBX-Barcelona,300000,3,205
TBX-Barcelona,300000,3,186
TBX-Barcelona,300000,3,191
TBX-Barcelona,300000,3,192
TBX-Barcelona,300000,3,186
TBX-Barcelona,300000,3,201
TBX-Barcelona,300000,3,188
TBX-Barcelona,300000,3,185
TBX-Barcelona,300000,3,200
TBX-Barcelona,300000,3,204
TBX-Barcelona,300000,3,185
TBX-Barcelona,300000,3,230
TBX-Barcelona,300000,3,184
TBX-Barcelona,300000,3,206
TBX-Barcelona,300000,3,195
TBX-Barcelona,300000,3,183
TBX-Barcelona,300000,3,188
TBX-Barcelona,300000,3,204
TBX-Barcelona,300000,3,181
TBX-Barcelona,300000,3,222
TBX-Barcelona,300000,3,192
TBX-Barcelona,300000,3,192
TBX-Barcelona,300000,3,206
TBX-Barcelona,300000,3,186
