COMPANY,FRAGMENT_SIZE,REQUESTS,RESPONSE_TIME
TBX-Barcelona,500000,2,628
TBX-Barcelona,500000,2,302
TBX-Barcelona,500000,2,355
TBX-Barcelona,500000,2,243
TBX-Barcelona,500000,2,250
TBX-Barcelona,500000,2,267
TBX-Barcelona,500000,2,237
TBX-Barcelona,500000,2,241
TBX-Barcelona,500000,2,241
TBX-Barcelona,500000,2,265
TBX-Barcelona,500000,2,241
TBX-Barcelona,500000,2,245
TBX-Barcelona,500000,2,265
TBX-Barcelona,500000,2,234
TBX-Barcelona,500000,2,242
TBX-Barcelona,500000,2,272
TBX-Barcelona,500000,2,234
TBX-Barcelona,500000,2,239
TBX-Barcelona,500000,2,278
TBX-Barcelona,500000,2,230
TBX-Barcelona,500000,2,242
TBX-Barcelona,500000,2,252
TBX-Barcelona,500000,2,254
TBX-Barcelona,500000,2,238
TBX-Barcelona,500000,2,242
TBX-Barcelona,500000,2,270
TBX-Barcelona,500000,2,234
TBX-Barcelona,500000,2,243
TBX-Barcelona,500000,2,271
TBX-Barcelona,500000,2,229
TBX-Barcelona,500000,2,244
TBX-Barcelona,500000,2,272
TBX-Barcelona,500000,2,231
TBX-Barcelona,500000,2,245
TBX-Barcelona,500000,2,252
TBX-Barcelona,500000,2,257
TBX-Barcelona,500000,2,236
TBX-Barcelona,500000,2,242
TBX-Barcelona,500000,2,269
TBX-Barcelona,500000,2,231
TBX-Barcelona,500000,2,244
TBX-Barcelona,500000,2,271
TBX-Barcelona,500000,2,230
TBX-Barcelona,500000,2,241
TBX-Barcelona,500000,2,255
TBX-Barcelona,500000,2,252
TBX-Barcelona,500000,2,237
TBX-Barcelona,500000,2,240
TBX-Barcelona,500000,2,264
TBX-Barcelona,500000,2,233
TBX-Barcelona,500000,2,290
TBX-Barcelona,500000,2,319
TBX-Barcelona,500000,2,313
TBX-Barcelona,500000,2,283
TBX-Barcelona,500000,2,286
TBX-Barcelona,500000,2,232
TBX-Barcelona,500000,2,241
TBX-Barcelona,500000,2,249
TBX-Barcelona,500000,2,253
TBX-Barcelona,500000,2,240
TBX-Barcelona,500000,2,244
TBX-Barcelona,500000,2,269
TBX-Barcelona,500000,2,231
TBX-Barcelona,500000,2,243
TBX-Barcelona,500000,2,275
TBX-Barcelona,500000,2,230
TBX-Barcelona,500000,2,243
TBX-Barcelona,500000,2,250
TBX-Barcelona,500000,2,255
TBX-Barcelona,500000,2,235
TBX-Barcelona,500000,2,240
TBX-Barcelona,500000,2,272
TBX-Barcelona,500000,2,234
TBX-Barcelona,500000,2,242
TBX-Barcelona,500000,2,268
TBX-Barcelona,500000,2,234
TBX-Barcelona,500000,2,241
TBX-Barcelona,500000,2,240
TBX-Barcelona,500000,2,268
TBX-Barcelona,500000,2,235
TBX-Barcelona,500000,2,245
TBX-Barcelona,500000,2,272
TBX-Barcelona,500000,2,227
TBX-Barcelona,500000,2,244
TBX-Barcelona,500000,2,273
TBX-Barcelona,500000,2,234
TBX-Barcelona,500000,2,236
TBX-Barcelona,500000,2,271
TBX-Barcelona,500000,2,237
TBX-Barcelona,500000,2,233
TBX-Barcelona,500000,2,241
TBX-Barcelona,500000,2,274
TBX-Barcelona,500000,2,228
TBX-Barcelona,500000,2,245
TBX-Barcelona,500000,2,264
TBX-Barcelona,500000,2,233
TBX-Barcelona,500000,2,239
TBX-Barcelona,500000,2,270
TBX-Barcelona,500000,2,233
TBX-Barcelona,500000,2,266
