COMPANY,FRAGMENT_SIZE,REQUESTS,RESPONSE_TIME
TBX-Barcelona,1000000,1,661
TBX-Barcelona,1000000,1,490
TBX-Barcelona,1000000,1,496
TBX-Barcelona,1000000,1,423
TBX-Barcelona,1000000,1,392
TBX-Barcelona,1000000,1,407
TBX-Barcelona,1000000,1,425
TBX-Barcelona,1000000,1,406
TBX-Barcelona,1000000,1,418
TBX-Barcelona,1000000,1,442
TBX-Barcelona,1000000,1,395
TBX-Barcelona,1000000,1,405
TBX-Barcelona,1000000,1,407
TBX-Barcelona,1000000,1,431
TBX-Barcelona,1000000,1,396
TBX-Barcelona,1000000,1,411
TBX-Barcelona,1000000,1,408
TBX-Barcelona,1000000,1,443
TBX-Barcelona,1000000,1,391
TBX-Barcelona,1000000,1,395
TBX-Barcelona,1000000,1,408
TBX-Barcelona,1000000,1,405
TBX-Barcelona,1000000,1,414
TBX-Barcelona,1000000,1,426
TBX-Barcelona,1000000,1,382
TBX-Barcelona,1000000,1,407
TBX-Barcelona,1000000,1,403
TBX-Barcelona,1000000,1,409
TBX-Barcelona,1000000,1,410
TBX-Barcelona,1000000,1,404
TBX-Barcelona,1000000,1,439
TBX-Barcelona,1000000,1,389
TBX-Barcelona,1000000,1,390
TBX-Barcelona,1000000,1,408
TBX-Barcelona,1000000,1,404
TBX-Barcelona,1000000,1,415
TBX-Barcelona,1000000,1,408
TBX-Barcelona,1000000,1,404
TBX-Barcelona,1000000,1,444
TBX-Barcelona,1000000,1,394
TBX-Barcelona,1000000,1,387
TBX-Barcelona,1000000,1,390
TBX-Barcelona,1000000,1,406
TBX-Barcelona,1000000,1,414
TBX-Barcelona,1000000,1,414
TBX-Barcelona,1000000,1,408
TBX-Barcelona,1000000,1,412
TBX-Barcelona,1000000,1,419
TBX-Barcelona,1000000,1,430
TBX-Barcelona,1000000,1,389
TBX-Barcelona,1000000,1,385
TBX-Barcelona,1000000,1,391
TBX-Barcelona,1000000,1,399
TBX-Barcelona,1000000,1,403
TBX-Barcelona,1000000,1,423
TBX-Barcelona,1000000,1,477
TBX-Barcelona,1000000,1,510
TBX-Barcelona,1000000,1,457
TBX-Barcelona,1000000,1,459
TBX-Barcelona,1000000,1,448
TBX-Barcelona,1000000,1,484
TBX-Barcelona,1000000,1,403
TBX-Barcelona,1000000,1,396
TBX-Barcelona,1000000,1,482
TBX-Barcelona,1000000,1,392
TBX-Barcelona,1000000,1,389
TBX-Barcelona,1000000,1,387
TBX-Barcelona,1000000,1,433
TBX-Barcelona,1000000,1,397
TBX-Barcelona,1000000,1,387
TBX-Barcelona,1000000,1,394
TBX-Barcelona,1000000,1,421
TBX-Barcelona,1000000,1,393
TBX-Barcelona,1000000,1,388
TBX-Barcelona,1000000,1,414
TBX-Barcelona,1000000,1,388
TBX-Barcelona,1000000,1,394
TBX-Barcelona,1000000,1,414
TBX-Barcelona,1000000,1,390
TBX-Barcelona,1000000,1,393
TBX-Barcelona,1000000,1,418
TBX-Barcelona,1000000,1,393
TBX-Barcelona,1000000,1,415
TBX-Barcelona,1000000,1,388
TBX-Barcelona,1000000,1,386
TBX-Barcelona,1000000,1,439
TBX-Barcelona,1000000,1,399
TBX-Barcelona,1000000,1,388
TBX-Barcelona,1000000,1,438
TBX-Barcelona,1000000,1,390
TBX-Barcelona,1000000,1,406
TBX-Barcelona,1000000,1,437
TBX-Barcelona,1000000,1,387
TBX-Barcelona,1000000,1,394
TBX-Barcelona,1000000,1,432
TBX-Barcelona,1000000,1,396
TBX-Barcelona,1000000,1,393
TBX-Barcelona,1000000,1,433
TBX-Barcelona,1000000,1,386
TBX-Barcelona,1000000,1,390
