COMPANY,DEPARTURE_STOP,ARRIVAL_STOP,DEPARTURE_TIME,MAX_TRANSFERS,FRAGMENT_SIZE,FRAGMENTS,CONNECTIONS,RESPONSE_TIME
tram-madrid,https://madrid.tram.es/stops/par_10_37,https://madrid.tram.es/stops/par_10_32,2018-06-07T21:00:00.000Z,1,500000,3,1054,416
tram-madrid,https://madrid.tram.es/stops/par_10_37,https://madrid.tram.es/stops/par_10_32,2018-06-07T21:00:00.000Z,1,500000,3,1054,274
tram-madrid,https://madrid.tram.es/stops/par_10_37,https://madrid.tram.es/stops/par_10_32,2018-06-07T21:00:00.000Z,1,500000,3,1054,295
tram-madrid,https://madrid.tram.es/stops/par_10_37,https://madrid.tram.es/stops/par_10_32,2018-06-07T21:00:00.000Z,1,500000,3,1054,265
tram-madrid,https://madrid.tram.es/stops/par_10_37,https://madrid.tram.es/stops/par_10_32,2018-06-07T21:00:00.000Z,1,500000,3,1054,286
tram-madrid,https://madrid.tram.es/stops/par_10_19,https://madrid.tram.es/stops/par_10_18,2018-06-07T17:00:00.000Z,0,500000,2,607,222
tram-madrid,https://madrid.tram.es/stops/par_10_19,https://madrid.tram.es/stops/par_10_18,2018-06-07T17:00:00.000Z,0,500000,2,607,215
tram-madrid,https://madrid.tram.es/stops/par_10_19,https://madrid.tram.es/stops/par_10_18,2018-06-07T17:00:00.000Z,0,500000,2,607,242
tram-madrid,https://madrid.tram.es/stops/par_10_19,https://madrid.tram.es/stops/par_10_18,2018-06-07T17:00:00.000Z,0,500000,2,607,202
tram-madrid,https://madrid.tram.es/stops/par_10_19,https://madrid.tram.es/stops/par_10_18,2018-06-07T17:00:00.000Z,0,500000,2,607,219
tram-madrid,https://madrid.tram.es/stops/par_10_68,https://madrid.tram.es/stops/par_10_61,2018-06-07T13:00:00.000Z,1,500000,2,394,220
tram-madrid,https://madrid.tram.es/stops/par_10_68,https://madrid.tram.es/stops/par_10_61,2018-06-07T13:00:00.000Z,1,500000,2,394,212
